%time,field.data
643005000000,15.9354226336
643017000000,15.9354226336
643104000000,16.2580840292
643118000000,16.2625117347
643206000000,16.6402878256
643217000000,16.7724336898
643305000000,17.1629324869
643317000000,17.2131682586
643404000000,17.7490610736
643417000000,17.7490610736
643504000000,18.1187776675
643517000000,18.2167813768
643604000000,18.5772997227
643617000000,18.7156368901
643704000000,19.1883944339
643718000000,19.1689447929
643806000000,19.5270174098
643818000000,19.6161787512
643906000000,19.8801928034
643917000000,19.8801928034
644005000000,20.1326108688
644018000000,20.2591666355
644106000000,20.4222035032
644118000000,20.3074340175
644206000000,20.5776585046
644217000000,20.5746243283
644306000000,20.6578413623
644317000000,20.7967826701
644405000000,20.6988928186
644419000000,20.8493829131
644504000000,20.8808787409
644517000000,21.1324696436
644606000000,21.0081093159
644617000000,21.2767091276
644705000000,21.3896577855
644718000000,21.4784366168
644810000000,21.4792271763
644822000000,21.5744753784
644904000000,21.8086458718
644917000000,21.8086458718
645011000000,21.9750908912
645018000000,21.9603159296
645107000000,22.1781252861
645117000000,22.1063499401
645204000000,22.1874623934
645218000000,22.1975340672
645305000000,22.4634038922
645317000000,22.4357139295
645404000000,22.6095329478
645417000000,22.609212315
645506000000,22.6732263043
645520000000,22.8587194987
645605000000,22.6235862437
645617000000,22.9256612193
645704000000,22.7239307562
645717000000,23.0504308457
645804000000,22.7875735877
645821000000,23.0951768367
645904000000,23.0244507229
645917000000,22.8970156098
646011000000,23.1128342179
646021000000,22.9760294373
646105000000,23.1756847511
646119000000,23.2642833746
646205000000,23.4515233969
646217000000,23.3729374748
646307000000,23.6617907003
646317000000,23.5973253432
646407000000,23.5608563743
646417000000,23.5608563743
646507000000,23.4869770954
646517000000,23.4618022053
646606000000,23.5597444443
646618000000,23.5597444443
646705000000,23.6682206505
646718000000,23.5546050657
646807000000,23.8147027035
646818000000,23.7469188099
646905000000,23.4442658651
646917000000,23.4442658651
647005000000,23.5403545642
647017000000,23.4652181418
647106000000,23.5244417212
647117000000,23.5244417212
647207000000,23.6267682714
647217000000,23.6267682714
647307000000,23.3422929315
647317000000,23.5390249896
647407000000,23.3162340837
647417000000,23.3162340837
647507000000,23.3928217411
647518000000,23.3422815001
647607000000,23.5451907673
647617000000,23.5451907673
647707000000,23.4870899999
647717000000,23.6379787455
647804000000,23.676191684
647817000000,23.519174611
647907000000,23.7147824249
647917000000,23.8412911498
648004000000,24.0559464788
648018000000,24.0559464788
648105000000,24.1539483864
648119000000,24.3086026239
648205000000,24.1940976531
648217000000,24.1940976531
648306000000,24.3463009168
648317000000,24.2536370228
648407000000,24.5772661626
648417000000,24.537835531
648505000000,24.5966219046
648518000000,24.5966219046
648604000000,24.5681409687
648618000000,24.5681409687
648705000000,24.6493800781
648717000000,24.6395095435
648805000000,24.8196442701
648817000000,24.8196442701
648904000000,24.7496629174
648917000000,24.7496629174
649004000000,24.859252945
649017000000,24.8236209232
649104000000,24.9880446226
649117000000,25.1053509381
649207000000,25.2981622811
649218000000,25.2571420114
649304000000,25.3712198057
649317000000,25.3181242613
649404000000,25.3879252501
649417000000,25.5243101608
649505000000,25.5883656822
649517000000,25.6429731875
649608000000,25.8154045273
649617000000,25.7477042175
649704000000,25.7067220668
649717000000,25.5626300899
649805000000,25.6502532777
649817000000,25.6574115927
649905000000,25.6383350948
649917000000,25.6787117501
650008000000,25.5008090863
650017000000,25.5008090863
650105000000,25.4261802697
650118000000,25.3190497121
650205000000,25.4350715531
650217000000,25.3310946015
650304000000,25.2760720167
650318000000,25.4023335266
650405000000,25.2364451913
650417000000,25.2364451913
650505000000,25.1901134557
650517000000,25.1901134557
650605000000,25.2303820581
650617000000,25.1441601537
650705000000,25.0334066399
650717000000,25.0712777497
650805000000,25.0012583961
650817000000,24.9380504347
650905000000,25.0037728311
650917000000,24.9420701707
651004000000,24.8128731671
651018000000,24.8128731671
651105000000,24.7956139871
651118000000,24.7956139871
651206000000,24.7502968089
651218000000,24.7502968089
651304000000,24.7091327327
651317000000,24.7091327327
651406000000,24.513936056
651417000000,24.513936056
651505000000,24.4192792412
651517000000,24.4192792412
651605000000,24.3044246674
651618000000,24.3044246674
651705000000,24.134389085
651717000000,24.134389085
651806000000,24.0024025332
651818000000,24.0024025332
651906000000,23.8014625396
651918000000,23.8674044433
652005000000,23.5744438374
652017000000,23.6303447772
652106000000,23.3695096442
652117000000,23.4224357956
652205000000,23.1329333976
652217000000,23.1800892165
652305000000,22.867034026
652318000000,22.7962365718
652404000000,22.6310241798
652417000000,22.6756037479
652505000000,22.3595356231
652518000000,22.3223380603
652605000000,22.1228825951
652617000000,21.9990967243
652705000000,21.7052695859
652717000000,21.7361909837
652805000000,21.4167793333
652817000000,21.4558281444
652905000000,21.1432220931
652918000000,21.1432220931
653005000000,20.8694857377
653018000000,20.756219864
653105000000,20.5524760433
653118000000,20.4381498411
653206000000,20.185196646
653217000000,20.1300266655
653304000000,19.7867778929
653318000000,19.7979174192
653405000000,19.4521685946
653418000000,19.3791597068
653505000000,19.0695988943
653517000000,19.0258487194
653605000000,18.6304006759
653618000000,18.6304006759
653705000000,18.2723713222
653718000000,18.1629486511
653804000000,17.7919907715
653817000000,17.7919907715
653904000000,17.4113949825
653918000000,17.4286384764
654005000000,16.9630784619
654017000000,16.870338158
654105000000,16.4650233262
654117000000,16.4539900621
654205000000,16.0752942098
654218000000,16.0732334578
654304000000,15.6360436092
654317000000,15.5564523892
654404000000,15.1000339069
654417000000,15.0804200183
654505000000,14.7149650838
654518000000,14.6018514978
654604000000,14.1676196302
654617000000,14.1574616433
654704000000,13.7286835603
654718000000,13.6078295937
654805000000,13.1682520671
654817000000,13.1682520671
654906000000,12.7195686014
654917000000,12.5821813672
655004000000,12.1818342973
655017000000,12.0673619754
655105000000,11.6138534158
655118000000,11.6138534158
655204000000,11.1691071553
655218000000,11.0541625236
655306000000,10.6261384966
655317000000,10.549334533
655405000000,10.0256596334
655417000000,9.88725572021
655505000000,9.44133949654
655517000000,9.41958835883
655604000000,8.83891043784
655617000000,8.81310774793
655704000000,8.33823688309
655717000000,8.21403251766
655805000000,7.70742539443
655817000000,7.70742539443
655905000000,7.1923518259
655917000000,7.08691029145
656006000000,6.55052007634
656018000000,6.39617744914
656104000000,5.92319050917
656117000000,5.90020214561
656204000000,5.44406662977
656217000000,5.32293308715
656304000000,4.85443650226
656318000000,4.74293675396
656404000000,4.28309027632
656417000000,4.18754399857
656505000000,3.70435911116
656517000000,3.70435911116
656604000000,3.20558013405
656617000000,3.17313245264
656704000000,2.79689903893
656717000000,2.68225941063
656805000000,2.29347694392
656817000000,2.21509448536
656905000000,1.83201617986
656918000000,1.83201617986
657005000000,1.50315389467
657018000000,1.44567958836
657105000000,1.20568694667
657118000000,1.18673566318
657205000000,0.968550771087
657218000000,0.958594905931
657304000000,0.798352798815
657317000000,0.80689003841
657404000000,0.821286355782
657417000000,0.817742057503
657505000000,0.988021823442
657517000000,1.02711673058
657605000000,1.14183257278
657617000000,1.16758686266
657705000000,1.37534777249
657717000000,1.39975075158
657804000000,1.62674993064
657818000000,1.65587321146
657905000000,1.92310301441
657917000000,1.92310301441
658005000000,2.05929263681
658018000000,2.19806192253
658105000000,2.33390756561
658118000000,2.35662005759
658204000000,2.60936892121
658218000000,2.61250251386
658306000000,2.86433455679
658318000000,2.87529604217
658404000000,3.03254546541
658418000000,3.10556599776
658504000000,3.22120751074
658518000000,3.32949055168
658604000000,3.39474672617
658618000000,3.4590859129
658705000000,3.61204385036
658719000000,3.62966075413
658804000000,3.82424791511
658818000000,3.82281613434
658904000000,4.00861646688
658918000000,4.02453027059
659004000000,4.15423997189
659017000000,4.15423997189
659104000000,4.14665851251
659117000000,4.2588187
659204000000,4.3260709479
659218000000,4.33434948716
659305000000,4.52103387734
659318000000,4.48273764679
659405000000,4.57677192207
659417000000,4.63939783654
659505000000,4.58505975662
659517000000,4.58505975662
659605000000,4.69661783823
659617000000,4.64634807111
659704000000,4.8424568274
659718000000,4.79972462381
659804000000,4.89458713665
659817000000,4.90529046905
659908000000,4.91145655624
659918000000,4.92987853831
660005000000,4.887282323
660017000000,4.88400776811
660105000000,5.03741921034
660118000000,5.06980441492
660204000000,5.15268972784
660217000000,5.15268972784
660308000000,5.14587445922
660317000000,5.14587445922
660404000000,5.10728523508
660417000000,5.09447626111
660507000000,4.98968957164
660517000000,4.97960775876
660606000000,4.97506620786
660618000000,4.91532006008
660704000000,4.97050840652
